company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country
Grupo Clin-Med,https://www.linkedin.com/company/grupo-clin-med,clinmedmariense.com.br,Hospitals and Health Care,Partnership,1001-5000,10,2000,-,-,US
Nasim Salamat Pasargad,https://www.linkedin.com/company/nasim-salamat-pasargad,salamatpasargad.com,Hospitals and Health Care,Privately Held,501-1000,9,2015,-,-,US
"Advanced Home Care Services, Inc.",https://www.linkedin.com/company/advanced-home-care-services-inc,ahcsny.com,Hospitals and Health Care,Sole Proprietorship,201-500,8,-,-,-,US
Essex County Hospital Center NJ,https://www.linkedin.com/company/essex-county-hospital-center-nj,essexcountynj.org,Hospitals and Health Care,Public Company,201-500,8,2006,Cedar Grove,New Jersey,US
Vital Fulya Plaza,https://www.linkedin.com/company/vitalfulyaplaza,vitalfulya.com,Hospitals and Health Care,Privately Held,201-500,8,-,-,-,US
University of Washington Department of Urology,https://www.linkedin.com/company/university-of-washington-department-of-urology,washington.edu,Hospitals and Health Care,Privately Held,201-500,6,1861,Seattle,Washington,US
Özel Mersin Ortadoğu Hastanesi,https://www.linkedin.com/company/ortadoguhastanesimersin,ortadogumersin.com,Hospitals and Health Care,Privately Held,201-500,5,-,-,-,US
KINDRED HOSPITAL EL PASO,https://www.linkedin.com/company/kindred-hospital-el-paso,-,Hospitals and Health Care,-,201-500,5,-,El Paso,Texas,US
Caroline Center for Rehabilitation and Healthcare,https://www.linkedin.com/company/caroline-center-for-rehabilitation-and-healthcare,carolinerehabcenter.com,Hospitals and Health Care,Privately Held,201-500,3,-,Denton,Maryland,US
Rumah Sakit Marga Husada,https://www.linkedin.com/company/rumah-sakit-marga-husada,-,Hospitals and Health Care,Privately Held,201-500,3,-,-,-,US
STEM Power Me,https://www.linkedin.com/company/stempowerme,cornell.edu,Hospitals and Health Care,Nonprofit,501-1000,3,-,New York,-,US
GOODWOOD MEDICAL CARE LTD,https://www.linkedin.com/company/woodmedical,dl-goodwood.com,Hospitals and Health Care,Privately Held,201-500,3,-,-,-,US
Great American Assisted Living,https://www.linkedin.com/company/great-american-assisted-living,loveourvets.com,Hospitals and Health Care,Nonprofit,201-500,2,-,-,-,US
"PT Metro Healthcare, Tbk",https://www.linkedin.com/company/metro-healthcare-tbk,metrohealthcareindonesia.co.id,Hospitals and Health Care,Public Company,201-500,2,-,-,-,US
Dr2connect,https://www.linkedin.com/company/dr2connect,dr2connect.com,Hospitals and Health Care,Privately Held,201-500,2,2024,-,-,US
AccuMeda Group,https://www.linkedin.com/company/accumeda,accumeda.com,Hospitals and Health Care,Public Company,501-1000,1,2008,-,-,US
Upsilon Alpha Chapter of Sigma Theta Tau Nursing Honor Society,https://www.linkedin.com/company/sigma-theta-tau-nursing-honor-society,google.com,Hospitals and Health Care,Partnership,201-500,1,-,Bethlehem,Pennsylvania,US
Acorn Live-In Care Services,https://www.linkedin.com/company/acorn-live-in-care-services,-,Hospitals and Health Care,Privately Held,201-500,-,2010,-,-,US
Medlink Revenue Cycle Management,https://www.linkedin.com/company/medlink-revenue-cycle-management,medlinkrcm.com,Hospitals and Health Care,Privately Held,501-1000,-,-,Irvine,California,US
DUBOIS REGIONAL MEDICAL CENTER,https://www.linkedin.com/company/dubois-regional-medical-center,drmc.org,Hospitals and Health Care,-,1001-5000,148,-,DuBois,Pennsylvania,US
"LA CLINICA DE FAMILIA, INC",https://www.linkedin.com/company/la-clinica-de-familia-inc,lcdfnm.org,Hospitals and Health Care,-,501-1000,107,-,Las Cruces,New Mexico,US
Rural Health Inc.,https://www.linkedin.com/company/rural-health-inc-,ruralhealthinc.org,Hospitals and Health Care,-,201-500,105,-,-,-,US
Alexander T. Augusta Military Medical Center,https://www.linkedin.com/company/atammcdha2024,tricare.mil,Hospitals and Health Care,Government Agency,1001-5000,66,2011,Fort-Belvoir,Virginie,US
Sound Shore Medical Center,https://www.linkedin.com/company/sound-shore-medical-center,-,Hospitals and Health Care,-,201-500,52,-,Mount Vernon,New York,US
Professional Pharmacy Inc,https://www.linkedin.com/company/professional-pharmacy-inc,professionalpharmacy.com,Hospitals and Health Care,-,201-500,11,-,Tularosa,New Mexico,US
SUMMERS COUNTY ARH HOSPITAL,https://www.linkedin.com/company/summers-county-arh-hospital,-,Hospitals and Health Care,-,201-500,10,-,Hinton,West Virginia,US
"New Jersey Urology, LLC",https://www.linkedin.com/company/new-jersey-urology-llc,nj-urology.com,Hospitals and Health Care,-,1001-5000,9,-,Bloomfield,New Jersey,US
"SMA BEHAVIORAL HEALTH SERVICES, INC",https://www.linkedin.com/company/sma-behavioral-health-services-inc,smabehavioral.org,Hospitals and Health Care,-,1001-5000,9,1961,Daytona Beach,Florida,US
Chaitanya Hospital Sangamner,https://www.linkedin.com/company/chaitanyahospitalsangamner,chaitanyahospitalsangamner.com,Hospitals and Health Care,Public Company,201-500,8,1985,-,-,US
Autumn Care Inc,https://www.linkedin.com/company/autumn-care-inc,-,Hospitals and Health Care,-,201-500,8,-,St Petersburg,Florida,US
"Alliance Services, INC.",https://www.linkedin.com/company/alliance-services-inc,asi-wi.com,Hospitals and Health Care,Public Company,201-500,8,2000,West Bend,Wisconsin,US
"Helix Healthcare, Inc.",https://www.linkedin.com/company/helix-healthcare-inc.,-,Hospitals and Health Care,-,201-500,7,-,La Mesa,California,US
Madison-Haywood County Developmental Services Inc,https://www.linkedin.com/company/madison-haywood-county-developmental-services-inc,-,Hospitals and Health Care,-,501-1000,7,-,Jackson,Tennessee,US
EMPOWERING PEOPLE MANAGEMENT,https://www.linkedin.com/company/empowering-people-management,-,Hospitals and Health Care,-,501-1000,7,-,North Olmsted,Ohio,US
Lehigh Valley Hospital - Schuykill,https://www.linkedin.com/company/lehigh-valley-hospital---schuykill,-,Hospitals and Health Care,-,501-1000,7,-,Pottsville,Pennsylvania,US
Susheela Hospital,https://www.linkedin.com/company/susheelahospital,lifecarehospital.in,Hospitals and Health Care,Partnership,201-500,6,2021,-,-,US
Eastside Retirement Association Dba Emerald Heights,https://www.linkedin.com/company/eastside-retirement-association-dba-emerald-heights,-,Hospitals and Health Care,-,201-500,6,-,Redmond,Washington,US
INTEGRIS SOUTH OKLAHOMA CITY HOSPITAL CORPORATION,https://www.linkedin.com/company/integris-south-oklahoma-city-hospital-corporation,-,Hospitals and Health Care,-,1001-5000,6,-,Oklahoma City,Oklahoma,US
Dentist on Call,https://www.linkedin.com/company/dentist-on-call,dentistoncall247.com,Hospitals and Health Care,Public Company,201-500,5,-,-,-,US
UNIVERSAL REHAB & FITNESS INST,https://www.linkedin.com/company/universal-rehab-&-fitness-inst,-,Hospitals and Health Care,-,201-500,5,-,Livingston,New Jersey,US
WHITESIDE COUNTY COMMUNITY HEALTH CLINIC,https://www.linkedin.com/company/whiteside-county-community-health-clinic,whitesidehealth.org,Hospitals and Health Care,-,501-1000,5,-,Rock Falls,Illinois,US
Kelley Health Holdings Inc,https://www.linkedin.com/company/kelley-health-holdings-inc,-,Hospitals and Health Care,-,201-500,5,-,Jasper,Alabama,US
Pineleaf Investments Inc,https://www.linkedin.com/company/pineleaf-investments-inc,-,Hospitals and Health Care,-,501-1000,5,-,Helena,Georgia,US
SERVICIOS MEDICOS UNIVERSITARIOS INC,https://www.linkedin.com/company/servicios-medicos-universitarios-inc,-,Hospitals and Health Care,-,501-1000,5,-,Carolina,Puerto Rico,US
"LAWRENCE COUNTY SOCIAL SERVICES, INC",https://www.linkedin.com/company/lawrence-county-social-services-inc,lccap.org,Hospitals and Health Care,-,201-500,5,1974,New Castle,Pennsylvania,US
UNIVERSITY OF WI HOSPITALS & CLINICS AUTHORITY,https://www.linkedin.com/company/university-of-wi-hospitals-&-clinics-authority,uwhospital.org,Hospitals and Health Care,-,1001-5000,5,-,Madison,Wisconsin,US
KINDRED HOSPITAL-ST LOUIS,https://www.linkedin.com/company/kindred-hospital-st-louis,kindredstlouis.com,Hospitals and Health Care,-,201-500,4,-,Saint Louis,Missouri,US
NORTHEAST HEALTH GROUP,https://www.linkedin.com/company/northeast-health-group,-,Hospitals and Health Care,-,201-500,4,-,Bala Cynwyd,Pennsylvania,US
Dove Pointe Residential Services Inc,https://www.linkedin.com/company/dove-pointe-residential-services-inc,-,Hospitals and Health Care,-,201-500,4,-,Salisbury,Maryland,US
River's Edge Rehabilitation and Healthcare Center,https://www.linkedin.com/company/rivers-edge-rehabilitation-and-healthcare-center,rehabriversedge.com,Hospitals and Health Care,Privately Held,201-500,43,-,Philadelphia,Pennsylvania,US
"CATALYST MEDICAL GROUP, PLLC",https://www.linkedin.com/company/catalyst-medical-group-pllc,catalystmedicalgroup.com,Hospitals and Health Care,Privately Held,201-500,41,2017,Lewiston,Idaho,US
Global Laboratories,https://www.linkedin.com/company/globallabsus,globallabsusa.com,Hospitals and Health Care,Privately Held,1001-5000,26,-,Piscataway,New Jersey,US
All-American Home Care,https://www.linkedin.com/company/all-american-home-care,all-americanhomecare.com,Hospitals and Health Care,Privately Held,501-1000,123,2015,Rochester,New York,US
Puckett EMS,https://www.linkedin.com/company/puckett-ems,puckettems.com,Hospitals and Health Care,Public Company,201-500,115,1984,-,-,US
Christ the King Manor,https://www.linkedin.com/company/christ-the-king-manor,ctkmanor.org,Hospitals and Health Care,Nonprofit,201-500,109,1971,DuBois,Pennsylvania,US
Dignity St. John's Regional Medical Center,https://www.linkedin.com/company/dignitystjohns,dignityhealth.org,Hospitals and Health Care,Public Company,1001-5000,107,-,-,-,US
Clarian North Medical Center,https://www.linkedin.com/company/clarian-north-medical-center,zcs.k12.in.us,Hospitals and Health Care,Privately Held,1001-5000,86,-,-,-,US
Allwel,https://www.linkedin.com/company/allwel,allwelcares.com,Hospitals and Health Care,Public Company,201-500,85,-,New York,New York,US
Deborah Foundation,https://www.linkedin.com/company/deborah-heart-and-lung-center-deborah-hospital,deborahfoundation.org,Hospitals and Health Care,Nonprofit,501-1000,49,-,Browns Mills,New Jersey,US
Foothill Community Health,https://www.linkedin.com/company/bayareacommunityhealth,sjffcc.org,Hospitals and Health Care,Nonprofit,501-1000,38,1996,SAN JOSE,California,US
Pure Healthcare,https://www.linkedin.com/company/pure-healthcare-us,purehealthcare.org,Hospitals and Health Care,Nonprofit,201-500,23,-,Dayton,Ohio,US
CCW Management Corp,https://www.linkedin.com/company/cardiology-consultants-of-westchester,columbiacardiology.org,Hospitals and Health Care,Privately Held,201-500,22,2011,Valhalla,New York,US
Maxxeus Dental,https://www.linkedin.com/company/maxxeus-dental,maxxeusdental.com,Hospitals and Health Care,Nonprofit,501-1000,21,1986,Kettering,Ohio,US
Five Points Healthcare,https://www.linkedin.com/company/five-points-healthcare-llc,fivepointshc.com,Hospitals and Health Care,-,501-1000,13,2011,Atlanta,Georgia,US
Sensimedical,https://www.linkedin.com/company/sensimedical,sensimedical.com,Hospitals and Health Care,Partnership,1001-5000,9,1991,-,-,US
International Surgical Sleep Society,https://www.linkedin.com/company/surgicalsleep,surgicalsleep.org,Hospitals and Health Care,Nonprofit,501-1000,3,-,-,-,US
Canton City Schools,https://www.linkedin.com/company/canton-city-schools,ccsdistrict.org,Hospitals and Health Care,-,201-500,484,-,Canton,Ohio,US
Divine House Inc,https://www.linkedin.com/company/divine-house-inc,divinehouse.org,Hospitals and Health Care,-,201-500,248,-,Buffalo,Minnesota,US
St. Francis-Emory Healthcare,https://www.linkedin.com/company/st-francis-emory-healthcare,mystfrancis.com,Hospitals,Privately Held,1001-5000,148,1950,Columbus,Georgia,US
Krankenhaus Nordwest GmbH,https://www.linkedin.com/company/krankenhaus-nordwest-gmbh-frankfurt,nordwest-krankenhaus.de,Hospitals and Health Care,Public Company,201-500,112,-,-,-,US
Stringfellow Memorial Hospital,https://www.linkedin.com/company/stringfellow-memorial-hospital,stringfellowmemorial.com,Hospitals and Health Care,Public Company,201-500,109,-,Anniston,Alabama,US
Harper University Hospital,https://www.linkedin.com/company/harper-university-hospital,harperhospital.org,Hospitals and Health Care,-,201-500,90,-,Detroit,Michigan,US
Salem Township Hospital,https://www.linkedin.com/company/salem-township-hospital,sthcares.org,Hospitals and Health Care,Nonprofit,201-500,81,-,Salem,Illinois,US
Seneca Nation Health System,https://www.linkedin.com/company/seneca-nation-health-system,senecahealth.org,Hospitals and Health Care,Nonprofit,201-500,80,-,Salamanca,New York,US
"St. Joseph Regional Medical Center, Inc.",https://www.linkedin.com/company/st.-joseph-regional-medical-center-inc.,sjrmc.org,Hospitals and Health Care,Privately Held,501-1000,510,1902,Lewiston,Idaho,US
Albania American Hospital,https://www.linkedin.com/company/albania-amerikan-hospital,spitaliamerikan.com,Hospitals and Health Care,Public Company,501-1000,267,2006,-,-,US
Health & Rehab Solutions,https://www.linkedin.com/company/healthrehabsolutions,healthrehabsolutions.com,Hospitals and Health Care,Privately Held,201-500,52,2012,Kalispell,Montana,US
Greenbrier Valley Medical Center,https://www.linkedin.com/company/greenbrier-valley-medical-center,gvmc.com,Hospitals and Health Care,Public Company,201-500,166,1938,Ronceverte,West Virginia,US
U.S. Rehab,https://www.linkedin.com/company/usrehab,usrehab.com,Hospitals and Health Care,Public Company,501-1000,3,-,Waterloo,Iowa,US
"Lakeview Village, Inc.",https://www.linkedin.com/company/lakeview-village-inc-,lakeviewvillage.org,Hospitals and Health Care,Nonprofit,501-1000,207,1964,Lenexa,Kansas,US
DeKalb Public Health (GA),https://www.linkedin.com/company/dekalbgapublichealth,dekalbpublichealth.com,Hospitals and Health Care,Government Agency,201-500,350,1924,Decatur,Georgia,US
Murshid Hospital,https://www.linkedin.com/company/murshid-hospital,murshid.org,Hospitals and Health Care,Privately Held,201-500,252,1987,-,-,US
"Heritage Operations Group, LLC",https://www.linkedin.com/company/heritageoperationsgroup,heritageofcare.com,Hospitals and Health Care,Privately Held,1001-5000,161,1962,Bloomington,Illinois,US
United HomeCare,https://www.linkedin.com/company/united-homecare,unitedhomecare.com,Hospitals and Health Care,Nonprofit,1001-5000,120,1973,Miami,Florida,US
Newgiza University Hospital,https://www.linkedin.com/company/newgiza-university-hospital,-,Hospitals and Health Care,Privately Held,501-1000,117,-,-,-,US
ACHE of Greater Philadelphia,https://www.linkedin.com/company/ache-gp,ache.org,Hospitals and Health Care,Nonprofit,1001-5000,4,-,Philadelphia,Pennsylvania,US
"Warren General Hospital, Warren, PA",https://www.linkedin.com/company/warren-general-hospital-warren-pa,wgh.org,Hospitals and Health Care,Nonprofit,201-500,263,1898,Warren,Pennsylvania,US
UW Medicine + Heart Institute,https://www.linkedin.com/company/uwheart,uwmedicine.org,Hospitals and Health Care,Government Agency,201-500,32,-,Seattle,Washington,US
Healthplans.ai,https://www.linkedin.com/company/healthplans-ai,healthplans.ai,Hospitals and Health Care,Privately Held,201-500,6,-,Greenwood V,Colorado,US
Blue Ridge Care,https://www.linkedin.com/company/blue-ridge-care,blueridgecare.org,Hospitals and Health Care,Nonprofit,201-500,232,1981,Winchester,Virginia,US
SoftScript,https://www.linkedin.com/company/softscript,softscript.com,Hospitals and Health Care,Privately Held,1001-5000,129,-,El Segundo,California,US
UCHealth - Yampa Valley Medical Center,https://www.linkedin.com/company/yampa-valley-medical-center,uchealth.org,Hospitals and Health Care,Nonprofit,501-1000,330,-,Steamboat Springs,Colorado,US
Gulfside Healthcare Services,https://www.linkedin.com/company/gulfsidehealthcareservices,gulfside.org,Hospitals and Health Care,Nonprofit,201-500,135,1989,Land O\' Lakes,Florida,US
Nebraska Cancer Specialists,https://www.linkedin.com/company/nebraska-cancer,nebraskacancer.com,Hospitals and Health Care,Privately Held,201-500,174,1984,Omaha,Nebraska,US
PhyMed Healthcare Group,https://www.linkedin.com/company/phymed-management,phymed.com,Hospitals and Health Care,Privately Held,501-1000,81,2012,Nashville,Tennessee,US
Graceworks Lutheran Services,https://www.linkedin.com/company/graceworks-lutheran-services,graceworks.org,Hospitals and Health Care,Nonprofit,1001-5000,390,1926,Dayton,Ohio,US
Morehouse Medicine,https://www.linkedin.com/company/morehouse-medicine,morehousehealthcare.com,Hospitals and Health Care,Nonprofit,201-500,66,1985,Atlanta,Georgia,US
Tuba City Regional Health Care Corporation,https://www.linkedin.com/company/tuba-city-regional-health-care-corporation,tchealth.org,Hospitals and Health Care,Nonprofit,1001-5000,343,2002,Tuba City,Arizona,US
Health Services Management,https://www.linkedin.com/company/health-services-management-network-of-companies,hsmgroup.org,Hospitals and Health Care,Nonprofit,1001-5000,85,2000,Crystal River,Florida,US
Physicians Regional North,https://www.linkedin.com/company/physicians-regional-north,physiciansregional.com,Hospitals and Health Care,Privately Held,201-500,-,-,High Point,North Carolina,US
"Ree Southeast, Inc",https://www.linkedin.com/company/ree-southeast-inc.,-,Hospitals and Health Care,-,201-500,-,2010,Troy,Michigan,US
InstaMedSolutions,https://www.linkedin.com/company/instamedsolutions,instamedsolutions.com,Hospitals and Health Care,Sole Proprietorship,201-500,-,-,New York,-,US
Federación De Asociaciones De Matronas De España,https://www.linkedin.com/company/federaci%c3%b3n-de-asociaciones-de-matronas-de-espa%c3%b1a,federacionmatronas.org,Hospitals and Health Care,Partnership,1001-5000,-,-,-,-,US
"Aristocrat Senior Management, Ltd",https://www.linkedin.com/company/aristocrat-senior-management-ltd,-,Hospitals and Health Care,-,201-500,-,1998,Berea,Ohio,US
Regency Center For Women & Infants,https://www.linkedin.com/company/regency-center-for-women-&-infants,-,Hospitals and Health Care,-,201-500,-,-,Winter Haven,Florida,US
Tph Asia,https://www.linkedin.com/company/tph-asia,-,Hospitals and Health Care,Privately Held,201-500,-,-,-,-,US
Sl Wellspring Llc,https://www.linkedin.com/company/sl-wellspring-llc,-,Hospitals and Health Care,-,201-500,-,1989,Cincinnati,Ohio,US
Union County Hospital Authority,https://www.linkedin.com/company/union-county-hospital-authority,-,Hospitals and Health Care,-,501-1000,-,-,Blairsville,Georgia,US
"Childrens Friend And Family Service Society Of The North Shore, Inc",https://www.linkedin.com/company/childrens-friend-and-family-service-society-of-the-north-shore-inc,-,Hospitals and Health Care,-,201-500,-,-,Salem,Massachusetts,US
Burleson Nursing & Rehab Center Inc,https://www.linkedin.com/company/burleson-nursing-&-rehab-center-inc,-,Hospitals and Health Care,-,201-500,-,2006,Maitland,Florida,US
NURSING & THERAPY SERVICES OF CO INC,https://www.linkedin.com/company/nursing-&-therapy-services-of-co-inc,-,Hospitals and Health Care,-,201-500,-,-,Colorado Springs,Colorado,US
The Therapeutic Center At Fox Chase,https://www.linkedin.com/company/the-therapeutic-center-at-fox-chase,thebridgephiladelphia.org,Hospitals and Health Care,-,201-500,-,1971,Philadelphia,Pennsylvania,US
"Ridge Md Leasing Co., Llc",https://www.linkedin.com/company/ridge-md-leasing-co.-llc,-,Hospitals and Health Care,-,201-500,-,2008,Cincinnati,Ohio,US
"Andventure, Inc Dba Links2care",https://www.linkedin.com/company/andventure-inc-dba-links2care,-,Hospitals and Health Care,-,1001-5000,-,-,Hasbrouck Heights,New Jersey,US
"The Esquire Management Group, Llc",https://www.linkedin.com/company/the-esquire-management-group-llc,-,Hospitals and Health Care,-,201-500,-,-,Jackson,New Jersey,US
St Lukes Of Trenton,https://www.linkedin.com/company/st-lukes-of-trenton,-,Hospitals and Health Care,-,201-500,-,-,Trenton,Missouri,US
东莞百分完美国际美容机构,https://www.linkedin.com/company/%e4%b8%9c%e8%8e%9e%e7%99%be%e5%88%86%e5%ae%8c%e7%be%8e%e5%9b%bd%e9%99%85%e7%be%8e%e5%ae%b9%e6%9c%ba%e6%9e%84,-,Hospitals and Health Care,Privately Held,201-500,-,-,-,-,US
Presbyterian Child Welfare Agency,https://www.linkedin.com/company/presbyterian-child-welfare-agency,-,Hospitals and Health Care,-,201-500,-,-,Buckhorn,Kentucky,US
Oregon College Of Orntl Mdcn Acpntre C,https://www.linkedin.com/company/oregon-college-of-orntl-mdcn-acpntre-c,-,Hospitals and Health Care,-,201-500,-,1983,Portland,Oregon,US
Athens Regional Specialty Services Inc,https://www.linkedin.com/company/athens-regional-specialty-services-inc,-,Hospitals and Health Care,-,201-500,-,2010,Athens,Georgia,US
Chirayuclinic,https://www.linkedin.com/company/chirayuclinic,chirayuhealthcare.co.in,Hospitals and Health Care,Privately Held,201-500,-,-,-,-,US
"Clallam, County Of",https://www.linkedin.com/company/clallam-county-of,-,Hospitals and Health Care,-,201-500,-,1950,Forks,Washington,US
"Abbaszadeh Dental Group, Inc",https://www.linkedin.com/company/abbaszadeh-dental-group-inc,-,Hospitals and Health Care,-,201-500,-,-,Sacramento,California,US
Childrens Hosp & Clinics Minne,https://www.linkedin.com/company/childrens-hosp-&-clinics-minne,-,Hospitals and Health Care,-,1001-5000,-,-,Minneapolis,Minnesota,US
NÖ Landesklinikum Gmünd,https://www.linkedin.com/company/n%c3%b6-landesklinikum-gm%c3%bcnd,lknoe.at,Hospitals and Health Care,Government Agency,501-1000,10,-,-,-,US
Medical College of Wisconsin Department of Anesthesiology,https://www.linkedin.com/company/medical-college-of-wisconsin-department-of-anesthesiology,mcw.edu,Hospitals and Health Care,Educational,201-500,9,-,Milwaukee,Wisconsin,US
Altus Emergency Center Lake Jackson,https://www.linkedin.com/company/altus-emergency-center-lake-jackson,altusemergency.com,Hospitals and Health Care,Privately Held,201-500,7,-,Lake Jackson,Texas,US
Renaissance Hospital of Dallas,https://www.linkedin.com/company/renaissance-hospital-of-dallas,renhcs.com,Hospitals and Health Care,Privately Held,201-500,7,-,-,-,US
Sun Prairie Health Care Center,https://www.linkedin.com/company/sun-prairie-health-care-ceter,sunprairiehc.com,Hospitals and Health Care,Privately Held,201-500,7,-,Sun Prairie,Wisconsin,US
Agentra,https://www.linkedin.com/company/agentra-llc1,agentra.com,Hospitals and Health Care,Privately Held,201-500,5,2005,Dallas,Texas,US
Phil Chai Healthcare Management LLC,https://www.linkedin.com/company/phil-chai-healthcare-management-llc,philchai-hc.com,Hospitals and Health Care,Partnership,501-1000,4,2018,McGregor,Texas,US
Teen Treatment Center,https://www.linkedin.com/company/the-teen-treatment-center,teentreatmentcenter.com,Hospitals and Health Care,Public Company,501-1000,2,2014,-,-,US
"Home Instead Senior Care - Winchester, VA",https://www.linkedin.com/company/home-instead-senior-care-winchester-va,homeinstead.com,Hospitals and Health Care,Privately Held,201-500,2,-,Winchester,Virginia,US
Camelot Senior Living,https://www.linkedin.com/company/camelot-senior-living,camelotseniorliving.com,Hospitals and Health Care,Privately Held,501-1000,2,1978,Pineville,Louisiana,US
Hughston Clinic Orthopaedics - Florida,https://www.linkedin.com/company/hughston-clinic-orthopaedics-florida,hughston.com,Hospitals and Health Care,Privately Held,1001-5000,1,-,-,-,US
Labtech Diagnostics,https://www.linkedin.com/company/labtech-diagnosticsllc,-,Hospitals and Health Care,Public Company,201-500,-,-,-,-,US
"Midwest Regional Medical Center, LLC",https://www.linkedin.com/company/midwest-regional-medical-center-llc,-,Hospitals and Health Care,-,201-500,107,-,-,-,US
Medical Center Clinic,https://www.linkedin.com/company/medical-center-clinic,medicalcenterclinic.com,Hospitals and Health Care,-,201-500,103,-,New Tazewell,Tennessee,US
New Island Hospital,https://www.linkedin.com/company/new-island-hospital,newislandhospital.org,Hospitals and Health Care,Nonprofit,201-500,76,-,-,-,US
TALLGRASS CREEK INC,https://www.linkedin.com/company/tallgrass-creek-inc,-,Hospitals and Health Care,-,501-1000,70,-,Overland Park,Kansas,US
BETHESDA NORTH,https://www.linkedin.com/company/bethesda-north,-,Hospitals and Health Care,-,1001-5000,68,-,Cincinnati,Ohio,US
Simply The Best Home Care,https://www.linkedin.com/company/simply-the-best-home-care,simplythebesthomecare.com,Hospitals and Health Care,Nonprofit,201-500,50,-,-,-,US
"STEIN HOSPICE SERVICE, INC.",https://www.linkedin.com/company/stein-hospice-service-inc.,steinhospice.com,Hospitals and Health Care,-,201-500,50,-,SANDUSKY,Ohio,US
Central Desert Behavioral Health Hospital,https://www.linkedin.com/company/central-desert-behavioral-health-hospital,centraldesertbh.com,Hospitals and Health Care,Privately Held,501-1000,49,-,Albuquerque,New Mexico,US
LESTER E. COX SOUTH MEDICAL CENTER,https://www.linkedin.com/company/lester-e.-cox-south-medical-center,coxhealth.com,Hospitals and Health Care,-,1001-5000,44,-,Springfield,Missouri,US
BAPTIST MEMORIAL HOSPITAL NORTH MS,https://www.linkedin.com/company/baptist-memorial-hospital-north-ms,sterncardio.com,Hospitals and Health Care,-,501-1000,43,-,Oxford,Mississippi,US
OSPTA@home,https://www.linkedin.com/company/ospta-home,osptahome.com,Hospitals and Health Care,-,201-500,42,-,-,-,US
Franklin County Rehab Ctr LLC,https://www.linkedin.com/company/franklin-county-rehab-ctr-llc,franklincountyrehab.com,Hospitals and Health Care,-,201-500,39,-,St. Albans,Vermont,US
Supraja Hospitals,https://www.linkedin.com/company/supraja-hospitals,suprajahospitals.com,Hospitals and Health Care,Privately Held,201-500,27,-,-,-,US
Nhdc Forest Hills Apartments Inc,https://www.linkedin.com/company/nhdc-forest-hills-apartments-inc,-,Hospitals and Health Care,-,201-500,-,2001,Rancho Cucamonga,California,US
"Physicians Of King's Daughters, Pa",https://www.linkedin.com/company/physicians-of-king's-daughters-pa,-,Hospitals and Health Care,-,201-500,-,-,Temple,Texas,US
"Avon Convalescent Home, Inc",https://www.linkedin.com/company/avon-convalescent-home-inc,avonhealthcenter.com,Hospitals and Health Care,-,201-500,-,-,Avon,Connecticut,US
Mah International Plc,https://www.linkedin.com/company/mah-international-plc,-,Hospitals and Health Care,Privately Held,501-1000,-,-,-,-,US
Dr.Sathi,https://www.linkedin.com/company/dr-sathi,drsathi.com,Hospitals and Health Care,Partnership,201-500,-,-,-,-,US
"Rehabilitation Center Of Greater Waterbury, Inc",https://www.linkedin.com/company/rehabilitation-center-of-greater-waterbury-inc,-,Hospitals and Health Care,-,201-500,-,-,Waterbury,Connecticut,US
Northeastern Pennsylvania Health Corporation,https://www.linkedin.com/company/northeastern-pennsylvania-health-corporation,-,Hospitals and Health Care,-,501-1000,-,1891,Hazleton,Pennsylvania,US
"Semmes-Murphey Clinic, A Professional Corporation",https://www.linkedin.com/company/semmes-murphey-clinic-a-professional-corporation,-,Hospitals and Health Care,-,201-500,-,1961,Memphis,Tennessee,US
Review For Relief,https://www.linkedin.com/company/review-for-relief,reviewforrelief.org,Hospitals and Health Care,Nonprofit,201-500,-,2020,-,-,US
"S.E.K. - C.A.P., Inc",https://www.linkedin.com/company/s.e.k.---c.a.p.-inc,-,Hospitals and Health Care,-,201-500,-,-,Girard,Kansas,US
Tắm Bé Quy Nhơn,https://www.linkedin.com/company/tambequynhon,facebook.com,Hospitals and Health Care,Public Company,201-500,-,-,-,-,US
Premier B H Inc,https://www.linkedin.com/company/premier-b-h-inc,-,Hospitals and Health Care,-,1001-5000,-,1992,Los Angeles,California,US
Holy Cross Carenet Inc,https://www.linkedin.com/company/holy-cross-carenet-inc,-,Hospitals and Health Care,-,201-500,-,-,Farmington Hills,Michigan,US
江阴红运中医诊所,https://www.linkedin.com/company/%e6%b1%9f%e9%98%b4%e7%ba%a2%e8%bf%90%e4%b8%ad%e5%8c%bb%e8%af%8a%e6%89%80,-,Hospitals and Health Care,Privately Held,201-500,-,-,-,-,US
Billing Nation,https://www.linkedin.com/company/billing-nation,billingnation.com,Hospitals and Health Care,Privately Held,201-500,-,-,-,-,US
"Cason Cove Health Care Advisors, Inc",https://www.linkedin.com/company/cason-cove-health-care-advisors-inc,-,Hospitals and Health Care,-,1001-5000,-,2010,Orlando,Florida,US
