name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
FFT Produktionssysteme,fft.de,https://www.linkedin.com/company/fft-germany,Industrial Automation,Privately Held,1001-5000,17400,1974,Fulda,Hessen,Germany,https://www.fft.de
Weinig Group,weinig.com,https://www.linkedin.com/company/weinig-ag,Machinery Manufacturing,Public Company,1001-5000,17372,-,Tauberbischofsheim,-,Germany,https://www.weinig.com
Hoshizaki America,hoshizakiamerica.com,https://www.linkedin.com/company/hoshizaki-america,Industrial Machinery Manufacturing,Privately Held,501-1000,17263,1981,Peachtree City,Georgia,United States,https://www.hoshizakiamerica.com
Vossloh Rail Services,vossloh.com,https://www.linkedin.com/company/vosslohrailservices,Machinery Manufacturing,Public Company,501-1000,17141,1947,Hamburg,Hh,Germany,https://www.vossloh.com/en
E Tech Group,etechgroup.com,https://www.linkedin.com/company/etechgroup,Automation Machinery Manufacturing,Privately Held,501-1000,17182,-,West Chester,Ohio,United States,https://www.etechgroup.com
Lmt Tools,lmt-tools.com,https://www.linkedin.com/company/lmttools,Industrial Machinery Manufacturing,Privately Held,1001-5000,16941,1908,Lahr,-,Germany,https://www.lmt-tools.com
A-SAFE GROUP,hubs.ly,https://www.linkedin.com/company/a-safe,Industrial Machinery Manufacturing,Privately Held,501-1000,16917,-,Elland,-,United Kingdom,https://eu1.hubs.ly/h0tsktk0
Grenzebach Group,grenzebach.com,https://www.linkedin.com/company/grenzebach-group,Industrial Machinery Manufacturing,Privately Held,1001-5000,16864,1960,Asbach-bäumenheim,-,Germany,https://www.grenzebach.com
Dwyer Instruments,dwyer-inst.com,https://www.linkedin.com/company/dwyer-instruments,Automation Machinery Manufacturing,Privately Held,501-1000,16680,1931,Michigan City,Indiana,United States,https://www.dwyer-inst.com
British Engineering Services Group,besgroup.com,https://www.linkedin.com/company/bes-group,Industrial Machinery Manufacturing,Privately Held,1001-5000,16563,-,Warrington,Cheshire,United Kingdom,https://www.besgroup.com
Coroplast Group,coroplast-group.com,https://www.linkedin.com/company/coroplast-fritz-m%c3%bcller-gmbh-&-co--kg,Automation Machinery Manufacturing,Privately Held,5001-10000,16546,1928,Wuppertal,-,Germany,https://www.coroplast-group.com/de
