name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Harman Becker,harman.com,https://www.linkedin.com/company/harman-becker,Automotive,Public Company,1001-5000,1919,-,-,-,United States,-
PT. Roda Sakti Surya Megah (Yamaha),-,https://www.linkedin.com/company/pt-roda-sakti-surya-megah-yamaha,Motor Vehicle Manufacturing,Public Company,501-1000,1717,-,-,-,United States,-
Casa Pellas,-,https://www.linkedin.com/company/casa-pellas,Motor Vehicle Manufacturing,Partnership,501-1000,1707,-,-,-,United States,-
Auto Value Parts Stores,autovaluestores.com,https://www.linkedin.com/company/auto-value-parts-stores,Automotive,Privately Held,1001-5000,1683,1920,St. Cloud,Minnesota,United States,https://autovaluestores.com
Bidvest McCarthy,mccarthy.co.za,https://www.linkedin.com/company/bidvestmccarthy,Motor Vehicle Manufacturing,Public Company,5001-10000,1558,1910,-,-,United States,https://www.mccarthy.co.za
All-Pro Auto Reconditioning,allprorecon.com,https://www.linkedin.com/company/all-pro-auto-reconditioning,Vehicle Repair and Maintenance,Privately Held,1001-5000,1359,1994,Houston,Texas,United States,https://www.allprorecon.com
BMW Motors India,bmw.in,https://www.linkedin.com/company/bmw-motors-india,Motor Vehicle Manufacturing,Privately Held,501-1000,1300,-,-,-,United States,https://www.bmw.in/en/index.html
Fleetguard,-,https://www.linkedin.com/company/fleetguard,Motor Vehicle Manufacturing,Public Company,10001+,1093,-,-,-,United States,-
Minebea AccessSolutions South America,-,https://www.linkedin.com/company/minebea-accesssolutions-south-america,Motor Vehicle Parts Manufacturing,Public Company,501-1000,1046,-,-,-,United States,-
Vehotrucks Suomi,veho.fi,https://www.linkedin.com/company/vehotrucks-suomi,Automotive,Privately Held,1001-5000,1031,1939,-,-,United States,https://veho.fi/hyotyajoneuvot
DuraMag Bodies,duramagbodies.com,https://www.linkedin.com/company/duramag-bodies,Automotive,Public Company,1001-5000,1002,-,Waterville,Maine,United States,https://duramagbodies.com
Antolin Mercosul,antolin.com,https://www.linkedin.com/company/antolin-merscosul,Motor Vehicle Parts Manufacturing,Privately Held,10001+,993,1995,-,-,United States,https://www.antolin.com
"Litens Aftermarket, N.A.",litensaftermarket.com,https://www.linkedin.com/company/litensaftermarket-na,Motor Vehicle Manufacturing,Privately Held,1001-5000,979,1979,-,-,United States,https://www.litensaftermarket.com
Toyota Gosei,toyoda-gosei.com,https://www.linkedin.com/company/toyota-gosei,Motor Vehicle Manufacturing,Privately Held,10001+,945,-,-,-,United States,https://www.toyoda-gosei.com/kigyou/kyoten/japan2
GAZ,-,https://www.linkedin.com/company/gaz,Motor Vehicle Manufacturing,Public Company,1001-5000,942,-,-,-,United States,-
Mazel Group,-,https://www.linkedin.com/company/mazel-group,Motor Vehicle Manufacturing,Privately Held,1001-5000,927,1988,-,-,United States,-
Trace Die Cast,tracediecast.com,https://www.linkedin.com/company/trace-die-cast,Automotive,Privately Held,501-1000,897,1988,-,-,United States,https://www.tracediecast.com
